ID,Country of Origin,Lot Number,Altitude,Region,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration
172,Taiwan,A43-Northern Taiwan Specialty Coffee Evaluation,600,桃園市,1,3 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10,10,10,7.5,0,82.08,9.7,0,0,bluish-green,0,"January 6th, 2024"
173,Taiwan,A34-Northern Taiwan Specialty Coffee Evaluation,460,苗栗縣,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10,10,10,7.5,0,82.08,8.1,0,0,greenish,3,"January 6th, 2024"
174,Taiwan,A50-Northern Taiwan Specialty Coffee Evaluation,500,桃園市,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10,10,10,7.42,0,82,8.2,0,0,green,1,"January 6th, 2024"
175,Thailand,MIXED DT 21/22 (Coffea Arabica),800-1200,North of Thailand,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Catimor,Completed,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10,10,10,7.42,0,82,9.8,0,0,green,0,"July 14th, 2023"
176,Costa Rica,S019194 - P04178,1500,Corralillo Tarrazu,500,30 kg,Specialty Coffee Association of Costa Rica,2018 / 2019,"March 29th, 2023",Caturra,Completed,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,0,82,10.5,1,2,green,8,"March 28th, 2024"
177,Guatemala,SA4238,1350-1550,Oriente,275,69 kg,Japan Coffee Exchange,2021 / 2022,"November 28th, 2022",,Completed,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0,82,11.5,0,1,blue-green,2,"November 28th, 2023"
178,Indonesia,015/1686/057,1350,Sumatra,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"August 22nd, 2022",,Completed,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10,10,10,7.42,0,82,12.5,0,0,bluish-green,0,"August 22nd, 2023"
179,Peru,301R,1600,"Chanchamayo, La Merced",275,69 kg,Japan Coffee Exchange,2022 / 2023,"July 11th, 2022",Caturra,Completed,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10,10,10,7.42,0,81.92,11.6,0,2,greenish,2,"July 11th, 2023"
180,Guatemala,GF-23392,1200~1600,Antigua,540,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 3rd, 2022",Caturra,Completed,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10,10,10,7.42,0,81.92,10.3,0,0,greenish,1,"November 3rd, 2023"
181,Taiwan,A10-Northern Taiwan Specialty Coffee Evaluation,300,桃園市,1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10,10,10,7.42,0,81.83,11.3,0,0,green,0,"January 6th, 2024"
182,Vietnam,221221,5400,Lam Dong Province,1,1 kg,Firedancer Coffee Consultants,2022 / 2023,"April 10th, 2023",Catimor,Completed,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.33,0,81.83,11.2,0,0,green,4,"April 9th, 2024"
183,Brazil,CQU2023007,1000,Mantiquira de minas,14,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023",Yellow Catuai,Completed,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,10,10,10,7.42,0,81.83,11.3,0,0,pale yellow,2,"April 6th, 2024"
184,Brazil,1,900-1000,Sul de Minas,325,59 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"December 30th, 2022",Catucai,Completed,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10,10,10,7.33,0,81.75,11.1,0,0,yellow-green,0,"December 30th, 2023"
185,Colombia,1,1574,Santander,275,70 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"December 30th, 2022",Santander,Completed,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10,10,10,7.33,0,81.75,11.2,0,0,yellow-green,0,"December 30th, 2023"
186,Mexico,2,1200,"Coatepec, Veracruz",32,69 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"August 11th, 2022",Typica,Completed,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10,10,10,7.33,0,81.67,11.8,2,0,green,2,"August 11th, 2023"
187,Costa Rica,OIC 5-019-0037/ Contenedor: DRYU3106597 / Cliente: O COFFEE,1200,occidente,100,69 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"March 29th, 2023",Caturra,Completed,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,0,81.58,9.7,0,2,green,4,"March 28th, 2024"
188,Taiwan,A46-Northern Taiwan Specialty Coffee Evaluation,300,新北市,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,10,10,10,7.33,0,81.58,9,0,0,yellow-green,0,"January 6th, 2024"
189,Taiwan,A38-Northern Taiwan Specialty Coffee Evaluation,435,臺北市,1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,0,81.5,8.5,0,0,green,0,"January 6th, 2024"
190,Thailand,JAVA 21/22 (Coffea Arabica),1300-1500,North of Thailand,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Java,Completed,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,0,81.42,11.6,2,0,green,1,"July 14th, 2023"
191,Thailand,"The 2022 Pacific Rim Coffee Summit,TH07",1400,Chiang Rai,5,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Typica Bourbon Caturra Catimor,Completed,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,0,81.33,10.5,0,0,yellowish,5,"November 15th, 2023"
192,Thailand,MIXED 21/22 (Coffea Arabica),600-800,North of Thailand,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Catimor,Completed,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,0,81.17,10.4,0,0,green,0,"July 14th, 2023"
193,Colombia,CQU2022019,1300-1800,Cauca,1,30 kg,Japan Coffee Exchange,2021 / 2022,"December 22nd, 2022","Caturra,Colombia,Castillo",Completed,Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,0,81.17,11.4,0,2,greenish,2,"December 22nd, 2023"
194,Brazil,38,1200,Alta Mogiana-Ibiraci,440,60 kg,Japan Coffee Exchange,2022 / 2023,"April 17th, 2023",,Completed,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,0,81,10.6,0,2,greenish,1,"April 16th, 2024"
195,El Salvador,0623C01,1400,"Volcan Chinchontepek, San Vicente, El Salvador",1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023",Bourbon,Completed,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,80.83,10.5,0,8,bluish-green,7,"March 7th, 2024"
196,Nicaragua,017/053/0603,1100,,275,69 kg,Japan Coffee Exchange,2021,"July 11th, 2022",Caturra,Completed,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,0,80.5,11.5,0,1,greenish,3,"July 11th, 2023"
197,Nicaragua,1,1000,Jinotega,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"April 20th, 2023",Sarchimor,Completed,Washed / Wet,7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,0,80.42,11.2,0,0,green,5,"April 19th, 2024"
198,Colombia,CQU2023001,1600,"Caicedonia,Valle del Cauca",3,10 kg,Japan Coffee Exchange,2022,"March 6th, 2023","Castillo,Caturra,Bourbon",Completed,Washed / Wet,7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,0,80.42,11,0,3,greenish,3,"March 5th, 2024"
199,Peru,PR137,1600,"Chanchamayo, Lamerced",275,69 kg,Japan Coffee Exchange,2022 / 2023,"June 10th, 2022",Caturra,Completed,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,0,80.33,11.8,0,6,greenish,11,"June 10th, 2023"
200,El Salvador,0523B01,1300,"Volcan Chinchontepek, San Vicente, El Salvador",1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023",Pacas,Completed,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,80.33,11.5,0,10,bluish-green,7,"March 7th, 2024"
201,Brazil,002/1738/0029,1200,Alta Mogiana-Ibiraci,440,60 kg,Japan Coffee Exchange,2021 / 2022,"July 20th, 2022",Catuai and Mundo Novo,Completed,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,0,80.17,11.6,0,1,greenish,2,"July 20th, 2023"
202,Brazil,019/22,950,Sul de Minas,2240,60 kg,Brazil Specialty Coffee Association,2022 / 2023,"February 2nd, 2023",Mundo Novo,Completed,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,80.08,11.4,0,0,green,4,"February 2nd, 2024"
203,Nicaragua,017-053-0155,1200,Matagalpa,300,30 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"March 3rd, 2023",SHG,Completed,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,0,80,10.4,0,2,green,12,"March 2nd, 2024"
204,Laos,105/3/VL7285-005,1300,Bolaven Plateau,343,60 kg,Japan Coffee Exchange,2021 / 2022,"November 11th, 2022",Catimor,Completed,Washed / Wet,7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,0,79.67,11.6,0,9,green,11,"November 11th, 2023"
205,El Salvador,0423A01,1200,"Volcan de San Vicente, La Paz, El Salvador",1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023",Maragogype,Completed,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7,10,10,10,6.83,0,78.08,11,0,12,bluish-green,13,"March 7th, 2024"
206,Brazil,1058 y 1059,850-1100,Minas Gerais,600,60 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"November 18th, 2022",Mundo Novo,Completed,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10,10,10,6.67,0,78,11.3,0,0,green,1,"November 18th, 2023"
